,Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
0,2007,Diabetes Mellitus (E10-E14),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
1,2007,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,659.0,45.9,23.2
2,2007,All Other Causes,F,Hispanic,820.0,70.2,85.6
3,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
4,2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Asian and Pacific Islander,18.0,3.7,3.6
5,2007,All Other Causes,M,Asian and Pacific Islander,221.0,45.7,61.2
6,2007,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,472.0,32.9,19.6
7,2007,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,45.0,53.54813559322028,52.78361581920898
8,2007,All Other Causes,F,Black Non-Hispanic,1230.0,116.8,113.4
9,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Black Non-Hispanic,279.0,26.5,25.3
10,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,32.0,6.2,7.6
11,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Not Stated/Unknown,86.0,53.54813559322028,52.78361581920898
12,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,428.0,83.1,115.2
13,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1327.0,121.7,238.4
14,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,36.0,53.54813559322028,52.78361581920898
15,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,White Non-Hispanic,7050.0,491.4,250.7
16,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
17,2007,Diabetes Mellitus (E10-E14),F,White Non-Hispanic,231.0,16.1,9.8
18,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Asian and Pacific Islander,53.0,11.0,13.0
19,2007,Diabetes Mellitus (E10-E14),M,Asian and Pacific Islander,47.0,9.7,13.6
20,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Not Stated/Unknown,10.0,53.54813559322028,52.78361581920898
21,2007,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,34.0,6.6,8.3
22,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,5.0,53.54813559322028,52.78361581920898
23,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,116.0,9.9,12.8
24,2007,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,189.0,17.3,36.7
25,2007,Diabetes Mellitus (E10-E14),M,Not Stated/Unknown,9.0,53.54813559322028,52.78361581920898
